Bd,day,Month,year,Exp_Day,ID_Number
157497.041,3,1,2018,55,1
322211.2891,3,1,2018,55,3
62783.35449,3,1,2018,55,7
163478.9258,3,1,2018,55,9
0,3,1,2018,55,10
NA,3,1,2018,55,12
157771.6699,3,1,2018,55,13
43253.60352,3,1,2018,55,22
33422.22168,3,1,2018,55,26
28.11505556,3,1,2018,55,28
5.28963685,3,1,2018,55,29
193612.3047,3,1,2018,55,31
NA,3,1,2018,55,33
31836.26709,3,1,2018,55,34
NA,3,1,2018,55,35
0,3,1,2018,55,44
NA,3,1,2018,55,46
0,3,1,2018,55,49
NA,3,1,2018,55,50
NA,3,1,2018,55,52
NA,3,1,2018,55,55
NA,3,1,2018,55,56
28505.91553,3,1,2018,55,57
15.34336805,3,1,2018,55,59
215947.5,3,1,2018,55,61
56614.78516,3,1,2018,55,65
6.575459242,3,1,2018,55,66
0,3,1,2018,55,67
NA,3,1,2018,55,70
276356.7383,3,1,2018,55,71
0,3,1,2018,55,74
NA,3,1,2018,55,77
553811.1719,3,1,2018,55,78
141553.8672,3,1,2018,55,85
0,3,1,2018,55,86
NA,3,1,2018,55,88
12684.58618,3,1,2018,55,94
NA,3,1,2018,55,97
NA,3,1,2018,55,99
252085.5469,3,1,2018,55,100
NA,3,1,2018,55,110
0,3,1,2018,55,114
NA,3,1,2018,55,118
0,3,1,2018,55,121
73965.73242,3,1,2018,55,123
294.0753365,5,12,2017,26,1
6723.936768,5,12,2017,26,3
57.10052013,5,12,2017,26,7
4118.967896,5,12,2017,26,9
9290.933838,5,12,2017,26,10
151931.6602,5,12,2017,26,12
1369.291382,5,12,2017,26,13
392.6711273,5,12,2017,26,22
2.172740996,5,12,2017,26,26
42194.64844,5,12,2017,26,28
36.17944717,5,12,2017,26,29
73.91163826,5,12,2017,26,31
341.0885239,5,12,2017,26,33
0,5,12,2017,26,34
10898.42896,5,12,2017,26,35
1894.513245,5,12,2017,26,44
143643.0078,5,12,2017,26,46
229.1724586,5,12,2017,26,49
69384.9707,5,12,2017,26,50
93749.32617,5,12,2017,26,52
37776.49902,5,12,2017,26,55
237236.6016,5,12,2017,26,56
65388.82324,5,12,2017,26,57
124957.207,5,12,2017,26,59
9855.788574,5,12,2017,26,61
6673.603516,5,12,2017,26,65
7584.989014,5,12,2017,26,66
142993.9063,5,12,2017,26,67
279576.5039,5,12,2017,26,70
39299.25293,5,12,2017,26,71
1117.487488,5,12,2017,26,74
111982.3828,5,12,2017,26,77
998.2011414,5,12,2017,26,78
20568.4,5,12,2017,26,85
15693.2,5,12,2017,26,86
23695.12,5,12,2017,26,88
206.5048,5,12,2017,26,94
1620.8,5,12,2017,26,97
351200,5,12,2017,26,99
62171.44,5,12,2017,26,100
35188.16,5,12,2017,26,110
4052.904,5,12,2017,26,114
132000,5,12,2017,26,118
10345.28,5,12,2017,26,121
1356.128,5,12,2017,26,123
417.93,6,12,2017,27,1
NA,6,12,2017,27,3
136.41,6,12,2017,27,7
NA,6,12,2017,27,9
5940.16,6,12,2017,27,10
7640.6,6,12,2017,27,12
793.6,6,12,2017,27,13
38.82,6,12,2017,27,22
21.82,6,12,2017,27,26
46982.77,6,12,2017,27,28
393.45,6,12,2017,27,29
26.63,6,12,2017,27,31
20.04,6,12,2017,27,33
15.54,6,12,2017,27,34
NA,6,12,2017,27,35
784.42,6,12,2017,27,44
49663.41,6,12,2017,27,46
38.48,6,12,2017,27,49
NA,6,12,2017,27,50
3579.88,6,12,2017,27,52
NA,6,12,2017,27,55
NA,6,12,2017,27,56
NA,6,12,2017,27,57
24873.4,6,12,2017,27,59
21106.55,6,12,2017,27,61
NA,6,12,2017,27,65
4125.27,6,12,2017,27,66
21399.14,6,12,2017,27,67
203652.81,6,12,2017,27,70
NA,6,12,2017,27,71
27295.02,6,12,2017,27,74
NA,6,12,2017,27,77
24339.05,6,12,2017,27,78
NA,6,12,2017,27,85
4981.93,6,12,2017,27,86
37491.87,6,12,2017,27,88
993.71,6,12,2017,27,94
1405.62,6,12,2017,27,97
NA,6,12,2017,27,99
34069.37,6,12,2017,27,100
NA,6,12,2017,27,110
14549.33,6,12,2017,27,114
504961.41,6,12,2017,27,118
339.3,6,12,2017,27,121
777.37,6,12,2017,27,123
506.2628937,10,12,2017,31,1
4498.323059,10,12,2017,31,3
629.7266388,10,12,2017,31,7
2268.626404,10,12,2017,31,9
1.02150932,10,12,2017,31,10
8091.266479,10,12,2017,31,12
2352.641144,10,12,2017,31,13
69.28561211,10,12,2017,31,22
14.53556538,10,12,2017,31,26
188.8888359,10,12,2017,31,28
20.40088892,10,12,2017,31,29
216.6948509,10,12,2017,31,31
5145.404663,10,12,2017,31,33
0,10,12,2017,31,34
3688.899231,10,12,2017,31,35
3.79555732,10,12,2017,31,44
25310.19775,10,12,2017,31,46
20.31887054,10,12,2017,31,49
3201.174011,10,12,2017,31,50
35211.86768,10,12,2017,31,52
