Day,Month,Year,Frog #,Habitat Notes,Posture,Movement,Time Habitat,Time Posture,Notes
9,November,2017,52,against side  ,slightly bent,y,8:46,,
8,November,2017,1,CROUCHED_BEHIND_HIDE,upright,,10:07,2:42,"11/8/2017 has 2 different times, 11/9/2017 I took both habitat and posutre at the same time"
8,November,2017,4,CROUCHED_BEHIND_HIDE,slightly bent,,10:07,2:42,
8,November,2017,37,CROUCHED_BEHIND_HIDE,upright,,10:07,2:42,
8,November,2017,46,CROUCHED_BEHIND_HIDE,upright,,10:26,2:42,
8,November,2017,47,CROUCHED_BEHIND_HIDE,upright,,10:26,2:42,
8,November,2017,71,CROUCHED_BEHIND_HIDE,upright,,10:26,2:42,
8,November,2017,77,CROUCHED_BEHIND_HIDE,upright,,10:26,2:42,
8,November,2017,78,CROUCHED_BEHIND_HIDE,upright,,10:26,2:42,
8,November,2017,81,CROUCHED_BEHIND_HIDE,slight bent,,10:26,2:42,
8,November,2017,118,CROUCHED_BEHIND_HIDE,slight bent,,10:07,2:41,
9,November,2017,19,CROUCHED_BEHIND_HIDE,upright,,8:35,,CROUCHED_BEHIND_HIDE = CROUCHED_BEHIND_HIDE hide
9,November,2017,21,CROUCHED_BEHIND_HIDE,upright,,8:35,,
9,November,2017,27,CROUCHED_BEHIND_HIDE,upright,,8:35,,
9,November,2017,49,CROUCHED_BEHIND_HIDE,upright,,8:46,,
9,November,2017,66,CROUCHED_BEHIND_HIDE,upright,,9:00,,
9,November,2017,75,CROUCHED_BEHIND_HIDE,upright,,9:00,,
9,November,2017,82,CROUCHED_BEHIND_HIDE,upright leg slightly lifted onto wall,,9:00,,
9,November,2017,94,CROUCHED_BEHIND_HIDE,upright,y,9:00,,
9,November,2017,95,CROUCHED_BEHIND_HIDE,upright,y,9:00,,
9,November,2017,107,CROUCHED_BEHIND_HIDE,upright,,9:00,,
9,November,2017,117,CROUCHED_BEHIND_HIDE,upright,,9:24,,
9,November,2017,118,CROUCHED_BEHIND_HIDE,upright,,9:24,,
11,November,2017,1,CROUCHED_BEHIND_HIDE,upright,,8:10 AM,i = ininfected,
11,November,2017,4,CROUCHED_BEHIND_HIDE,upright,,8:37,i,
11,November,2017,7,CROUCHED_BEHIND_HIDE,,,8:37,i,
11,November,2017,19,CROUCHED_BEHIND_HIDE,,,8:37,i,
11,November,2017,37,CROUCHED_BEHIND_HIDE,upright,,8:20,u,
11,November,2017,40,CROUCHED_BEHIND_HIDE,crouched,,8:20,u,
11,November,2017,41,CROUCHED_BEHIND_HIDE,n/a,,8:20,u,
11,November,2017,47,CROUCHED_BEHIND_HIDE,n/a,,8:20,u,
11,November,2017,49,CROUCHED_BEHIND_HIDE,,,8:20,i,
11,November,2017,51,CROUCHED_BEHIND_HIDE,upright,y,8:20,u,
11,November,2017,53,CROUCHED_BEHIND_HIDE,n/a,,8:20,u,
11,November,2017,61,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,i,
11,November,2017,62,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,i,
11,November,2017,64,CROUCHED_BEHIND_HIDE,n/a,,8:45,u,
11,November,2017,67,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,i,
11,November,2017,74,CROUCHED_BEHIND_HIDE,upright,,8:45,i,
11,November,2017,87,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,u,
11,November,2017,93,CROUCHED_BEHIND_HIDE,upright,y,8:45,i,
11,November,2017,101,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,u,
11,November,2017,102,CROUCHED_BEHIND_HIDE,crouched,,8:45,i,
11,November,2017,107,CROUCHED_BEHIND_HIDE,upright,,8:45,u,
11,November,2017,111,CROUCHED_BEHIND_HIDE,,,8:45,u,
11,November,2017,113,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,u,
11,November,2017,114,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,i,
11,November,2017,115,CROUCHED_BEHIND_HIDE,upright,,8:45,i,
11,November,2017,120,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,u,
12,November,2017,7,CROUCHED_BEHIND_HIDE,,,8:45,i,
12,November,2017,13,CROUCHED_BEHIND_HIDE,upright,,8:45,i,
12,November,2017,16,CROUCHED_BEHIND_HIDE,upright,,8:45,i,
12,November,2017,20,CROUCHED_BEHIND_HIDE,upright,,8:45,u,
12,November,2017,25,CROUCHED_BEHIND_HIDE,upright,,8:45,u,
12,November,2017,34,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,i,
12,November,2017,37,CROUCHED_BEHIND_HIDE,upright,,8:45,u,
12,November,2017,38,CROUCHED_BEHIND_HIDE,slightly bent,,8:45,u,
12,November,2017,41,CROUCHED_BEHIND_HIDE,upright,,8:45,u,
12,November,2017,44,CROUCHED_BEHIND_HIDE,crouched,,8:45,i,
12,November,2017,45,CROUCHED_BEHIND_HIDE,crouched,,8:20,u,
12,November,2017,50,CROUCHED_BEHIND_HIDE,slightly bent,,8:00,,
12,November,2017,52,CROUCHED_BEHIND_HIDE,upright,,8:45,i,
12,November,2017,53,CROUCHED_BEHIND_HIDE,upright,,8:20,u,
12,November,2017,54,CROUCHED_BEHIND_HIDE,upright,y,8:20,u,
12,November,2017,63,CROUCHED_BEHIND_HIDE,upright,y,8:20,u,
12,November,2017,67,CROUCHED_BEHIND_HIDE,upright,,8:45,i,
